Process,Scene,Character_IMGE,Character_Name,Text,UI,Choice,Next
0_1,,,,恭喜你完成连接，获得怪谈局的Offer！,U001,,0_2
0_2,,,,你始终铭记怪谈运营守则：1.一个足够有噱头的源头场所 2.一段简洁明了且耸人听闻的故事 3.足够的传播范围 4.可持续的传播潜力,U001,,0_3
0_3,,,,无趣是我们的敌人。,U001,,0_4
0_4,,,,,U005,,0_5
0_5,,,,拿到offer后的你静了许久，你不知想了些什么，而后转向Ego——,U001,,0_6
0_6,,,,拿到offer后的你静了许久，你不知想了些什么，而后转向Ego——,U004,询问是否可以马上上岗开工:0_7::;询问是否可以马上领取入岗福利:0_14::,
0_7,,C001,,Ego，那我现在可以直接开工了吗？,U002,,0_8
0_8,,C004,EGO,当然可以！,U002,,0_9
0_9,,,,在你的努力运作下，那个黑衣女人出现在许多人的梦中。,U001,,0_10
0_10,,,,在你上岗后Ego就和你告别了，或许它又成为了别人的小狗。,U001,,0_11
0_11,,,,你努力工作了很久，几十年甚至百年。,U001,,0_12
0_12,,,,下岗后你开始有时间到处闲逛，但更多时间你只是静静地呆在休息室中。,U001,,0_13
0_13,,,,你忘记了自己是谁，但仍然不时梦见一只奇怪的小狗和一位黑衣女人。,U001,,Ending
0_14,,C001,,Ego，我现在可以领取那个入岗福利了吗？,U002,,0_15
0_15,,C004,EGO,当然！恭喜你拿到offer!,U002,,0_16
0_16,,C001,,（轻笑）我的愿望是——,U002,,0_17
0_17,,C001,,我还是想知道真实的李弦的故事是什……<br>你感到一股无形的力量突然逼近——（你爆开了）。,U002,,Ending
