Process,Scene,Character,Character_Name,Text,UI,Choice,Next
0_129,S004,C888,,不是吧老铁……你们邪教教主是李弦痴汉吗……,U002,,0_130
0_130,S004,C002,,这画像就是缩小版的李弦啊！,U002,,0_131
0_131,S004,C001,,三十年前……这个时候李弦才12岁，还没出道。,U002,,
0_132,S004,C999,,我天，这家真是有够乱的。,U002,,0_133
0_133,S004,C003,,到处是酒瓶垃圾也就算了，死老鼠怎么还堆房间里啊。,U002,,
0_134,S004,C010,？？？,是你啊。,U004,直接问询:0_135::CA031,0_135
0_135,S004,C002,,！！！（你认出了这是那天刚到怪谈空间时追着你发传单的男人）。,U002,,0_136
0_136,S004,C010,？？？,哈哈哈，用得着这样吗？咱们可是同类啊。,U002,,0_137
0_137,S004,C003,,（尝试冷静）我还不太习惯，而且你大晚上的突然冒出来……,U002,,0_138
0_138,S004,C010,？？？,哦，这样啊——我叫陈伟，了解一下？,U002,,0_139
0_139,S004,C003,,不是……<br>誰问你了？WHO ASKED？谁问汝矣？誰があなたに聞きましたか？누가 물어봤어？,U002,,0_140
0_140,S004,C010,陈伟,（并不在意你的回答）你在尝试连接吗？怎么跑到我们风坑村了。,U002,,0_141
0_141,S004,C001,,“我们”？你对风坑村很熟？,U002,,0_142
0_142,S004,C010,陈伟,看到没？,U002,,0_143
0_143,S004,,,你朝其身后望去，久视之后那棵大得离谱的树在月光下越发显得妖冶。,U001,,0_144
0_144,S004,,,你思索再三想找一个准确的词汇，而后指向那棵树——,U001,,0_145
0_145,S004,C001,,那个不会是你的……“行宫”吧？,U002,,0_146
0_146,S004,C010,陈伟,…………,U002,,0_147
0_147,S004,C010,陈伟,…………,U002,,0_148
0_148,S004,C010,陈伟,哈哈哈哈哈哈！你这孩子哈哈哈哈哈……,U002,,0_149
0_149,S004,,,一阵沉默后，你看着这个叫陈伟的东西突然止不住地大笑起来。,U001,,0_150
0_150,S004,,,许久，他终于停了下来。<br>你看着眼前的“东西”原地蹦了蹦，你想如果他有个人的样子话，或许是在跺脚。,U001,,0_151
0_151,S004,C010,陈伟,你陈伟大爷我死的地方。,U002,,0_152
0_152,S004,C001,,你死在……坟场？,U002,,0_153
0_153,S004,C010,陈伟,嗯……“行宫”的话（憋笑），再过去点地下有个坑……,U002,,0_154
0_154,S004,C010,陈伟,准确的说是跟人起了争执——帮你一把，咱也不做谜语人——<br>就你之前遇上的那个小女孩他爸干的。,U002,,0_155
0_155,S004,C002,,！！！<br>（内心os：你们村真的挺邪门的。）,U002,,0_156
0_156,S004,C010,陈伟,那个王大有真是五毒俱全一人，酗酒、家暴、赌博……然后在赌场沾上了毒。,U002,,0_157
0_157,S004,C001,,家暴？,U002,,0_158
0_158,S004,C010,,是啊。你不知道吧，那姑娘报了几次警，还拉着她妈跑了几回——还是那样。,U002,,0_159
0_159,S004,C003,,你们这地方的办事人员白拿工资吗……,U002,,0_160
0_160,S004,C010,陈伟,那你可不能冤枉警察啊，她妈每次好了伤疤忘了疼。<br>一到警局就说自己啥事没有，家庭幸福得很，你让警察怎么办？,U002,,0_161
0_161,S004,C001,,……,U002,,0_162
