Process,Scene,Character,Character_Name,Text,UI,Choice,Next,Card
0_1,S005,C001,N001,什么情况？<br>（伸手想掏手机发现自己的身体大变样了）,U002,,0_2,
0_2,S005,C002,N001,！！！我成幽灵了！！！<br>！！！我被车撞死了！！！,U002,,0_3,
0_3,S005,C014,陈伟（怪谈）,同学，游泳健身了解一下~,U003,,0_4,
0_4,S005,C003,N001,……,U002,,0_5,
0_5,S005,C014,陈伟（怪谈）,我们风坑村工作环境很好哒~<br>刚好上一个怪谈老师退休了才有空闲岗位哦~<br>每月吓一人就有工资哦~,U003,,0_6,
0_6,S005,,,你终于唤醒了僵硬的身体，拔腿飞驰。<br>男人……不对，那东西没有跟上来<br>但类似的奇怪话术并没有从耳边消失<br>你发现自己似乎混入了什么奇怪的招聘现场<br>而周围都是跟方才那男人一样的——,U001,,0_7,
0_7,S005,C002,N001,鬼啊啊啊啊！！,U002,,0_8,
0_8,S001,,,奔逃中你拉开一扇房门仓惶躲入，终于敢放声大叫安抚惊恐的情绪。<br>但下一刻你就觉得自己还是叫早了：<br>光线昏暗的空间突然变亮，<br>你看清了就在不足一米的正前方，<br>一只不明品种的狗（？）正看着你，眼中闪出幽幽灵光。,U001,,0_9,
0_9,S001,C004,EGO,你好呀，你好呀。<br>我亲爱的新帮扶对象。,U002,,0_10,
0_10,S001,C004,EGO,我亲爱的新帮扶对象。,U004,先吸再说:0_11;转身就跑:0_15,,
0_11,S001,,,恭喜你获得卡牌EGO！,U001,,0_12,CA001
0_12,S001,C004,EGO,（蹭了蹭你）<br>谢谢你喜欢我。,U002,,0_13,
0_13,S001,C001,N001,？<br>（看着肉眼可见兴奋起来的萌物你感到一丝疑惑）,U002,,0_14,
0_14,S001,C004,EGO,这次由我来带你参观我们的家哦！,U002,,0_19,
0_15,S001,C001,N001,（奋力推门但发现无论如何都打不开）,U002,,0_16,
0_16,S001,C004,EGO,你要出去吗？,U002,,0_17,
0_17,S001,C002,N001,啊！！！<br>（门开后，你被一只路过的无头生物吓得蹿了回来）,U002,,0_18,
0_18,S001,C004,EGO,（关门）不用怕它们。这里面也很安全。,U002,,0_19,
0_19,S001,,,T019,U001,,0_20,
0_20,S001,C004,EGO,T020,U002,,0_21,
0_21,S002,,,T014,U001,,0_22,
0_22,S002,C001,N001,T015,U002,,0_23,
0_23,S002,C004,N003,T016,U002,,,
