Process,Scene,Character_IMGE,Character_Name,Text,UI,Choice,Next
0_1,S005,C001,,什么情况？（伸手想掏手机发现自己的身体大变样了）。,U002,,0_2
0_2,S005,C002,,！！！我成幽灵了！！！,U002,,0_3
0_3,S005,C002,,！！！我被车撞死了！！！,U002,,0_4
0_4,S005,C014,？？？,同学，游泳健身了解一下~,U003,,0_5
0_5,S005,C003,,……,U002,,0_6
0_6,S005,C014,？？？,我们风坑村工作环境很好哒~,U003,,0_7
0_7,S005,C014,？？？,刚好上一个怪谈老师退休了才有空闲岗位哦~,U003,,0_8
0_8,S005,,,你终于唤醒了僵硬的身体，拔腿飞驰。,U001,,0_9
0_9,S005,,,男人……不对——那东西没有跟上来，但类似的奇怪话术并没有从耳边消失。,U001,,0_10
0_10,S005,,,你发现自己似乎混入了什么奇怪的招聘现场，而周围都是跟方才那男人一样的——,U001,,0_11
0_11,S005,C002,,鬼啊啊啊啊！！,U002,,0_12
0_12,S005,C002,,我只是个下班路上无辜被撞的命苦实习生！,U002,,0_13
0_13,S005,C002,,有必要死了还这么对我吗？,U002,,0_14
0_14,S001,,,奔逃中你拉开一扇房门仓惶躲入，终于敢放声大叫安抚惊恐的情绪。,U001,,0_15
0_15,S001,,,可是，下一刻你就觉得自己还是叫早了。,U001,,0_16
0_16,S001,,,光线昏暗的空间突然变亮，你看清了就在不足一米的正前方，,U001,,0_17
0_17,S001,,,一只不明品种的狗（？）正看着你，眼中闪出幽幽灵光。,U001,,0_18
0_18,S001,C004,Ego,你好呀，你好呀。我亲爱的新帮扶对象。,U002,,0_19
0_19,S001,C004,Ego,你好呀，你好呀。我亲爱的新帮扶对象。,U004,先吸再说:0_20::CA001;转身就跑:0_23::,
0_20,S001,C004,Ego,（蹭了蹭你）谢谢你喜欢我。,U002,,0_21
0_21,S001,C001,,？（看着肉眼可见兴奋起来的萌物你感到一丝疑惑）,U002,,0_22
0_22,S001,C004,Ego,这次由我来带你参观我们的家哦！,U002,,0_27
0_23,S001,C001,,（奋力推门但发现无论如何都打不开）,U002,,0_24
0_24,S001,C001,Ego,你要出去吗？,U002,,0_25
0_25,S001,C002,,啊！！（门开后，你被一只路过的无头生物吓得蹿了回来）,U002,,0_26
0_26,S001,C004,Ego,（关门）不用怕它们。这里面也很安全。,U002,,0_27
0_27,S001,,,许久，你终于镇定下来，开始打量起身处的空间。,U001,,0_28
0_28,S001,,,这里看上去就是一个豪华套房，不过走的是超现实风格。,U001,,0_29
0_29,S001,,,天花板有不断流过的“电光”，好似一群群银鱼从眼前游过。,U001,,0_30
0_30,S001,,,但若再仔细观察，就会发现那些东西的“材质”似乎跟你自己现在的这具身体是一样的。,U001,,0_31
0_31,S001,C004,Ego,这里是休息室。,U002,,0_32
0_32,S001,C004,Ego,在此，你可以进入虚拟空间，了解怪谈原主的信息和怪谈诞生始末。,U002,,0_33
0_33,S001,C004,Ego,收集的线索统一收录在背包，你可以按需查看和使用（点击右下角按键）。,U002,,0_34
0_34,S001,C004,Ego,最后在推理区域进行连接，成功的话你就可以上岗啦！,U002,,0_35
0_35,S001,C004,Ego,（转过身用亮晶晶的眼睛看着你）。,U002,,0_36
0_36,S001,C001,,（世界观重建中……）我想问……,U002,,0_37
0_37,S001,C004,Ego,Ego！我叫Ego哦！（摇尾巴）,U002,,0_38
0_38,S001,C001,,（轻笑）Ego，我是想问你说的这些“怪谈始末”“连接上岗”都是什么？我其实……,U002,,0_39
0_39,S001,C004,Ego,（扑上来）你也要消散吗？,U002,,0_40
0_40,S001,C001,,不不不——不是，消散又是什么？,U002,,0_41
0_41,S001,C004,Ego,（似乎陷入了苦恼，着急地倒腾着小短腿转圈圈）,U002,,0_42
0_42,S001,,,你将Ego捞进怀里，感叹怎么会有这样毫无戒备之心的小动物。,U001,,0_43
0_43,S001,,,原来，人世的所有怪谈背后都有此地的工作人员负责“运营维护”。,U001,,0_44
0_44,S001,,,你正是来到了所有怪谈工作者的聚居地。,U001,,0_45
0_45,S001,,,与现世相同，工作者会退休或死亡，怪谈寿命却长得多，因而就有空出的岗位。,U001,,0_46
0_46,S001,,,只有与怪谈有紧密联系的意外死亡人员才会被吸入这里，获得争取对应岗位的机会。,U001,,0_47
0_47,S001,C001,,所以你也是怪谈？,U002,,0_48
0_48,S001,C004,Ego,(挺了挺胸脯）只需满足四个条件就能诞生怪谈。,U002,,0_49
0_49,S001,C004,Ego,至于能不能一直存在，那就得看工作者的运营维护啦。,U002,,0_50
0_50,S001,C001,,你可以给我说说是哪四个条件吗？,U002,,0_51
0_51,S001,C004,Ego,1.一个足够有噱头的源头场所。  2.一段简洁明了且耸人听闻的故事。 ,U002,,0_52
0_52,S001,C004,Ego,3.足够的传播范围。  4.可持续的传播潜力。,U002,,0_53
0_53,S001,C004,Ego,当然，要牢记这也是我们的工作守则哦~,U002,,0_54
0_54,S001,C001,,那你怎么在这儿？你不用工作吗？,U002,,0_55
0_55,S001,C004,Ego,嘿嘿，我现在的工作就是老带新嘛。,U002,,0_56
0_56,S001,C001,,噗嗤——前辈，那我可以在家啃老吗？,U002,,0_57
0_57,S001,C004,Ego,不行！没编制的魂魄是会直接消散的！,U002,,0_58
0_58,S001,C003,,（嘀咕）我真是小看你们了……,U002,,0_59
0_59,S001,C004,Ego,我们可是会发放入岗福利的哦~一个合理范围内的心愿！,U002,,0_60
0_60,S001,,,你看着面前端起前辈架子的小狗，回想它方才秃噜出来的一大串信息，<br>还是有许多解不开的疑问。,U001,,0_61
0_61,S001,C001,,这个房间的工作人员退休了？,U002,,0_62
0_62,S001,C004,Ego,（摇头）是个新诞生的怪谈，本来是原主的房间。,U002,,0_63
0_63,S001,C001,,那怎么空出来了？,U002,,0_64
0_64,S001,C002,,（你觉得似乎不该打探这些事，有点后悔自己一时嘴快说出了这句话）,U002,,0_65
0_65,S001,C004,Ego,那人真是太懒了！我从没见过这样的人！,U002,,0_66
0_66,S001,C004,Ego,我可是讲了一天应聘方法和生存守则呢！结果魂散了！自行消散！,U002,,0_67
0_67,S001,C003,,……,U002,,0_68
0_68,S001,C004,Ego,谁遇到过这种奇葩啊！（看向你的眼睛中充满暗示）。,U002,,0_69
0_69,S001,C001,,别这样看我，我不是啊。我可是有心愿要完成的。,U002,,0_70
0_70,S002,,,待补岗位的怪谈：<br>A市近期出现许多人声称自己梦见一个黑衣女人，他们都不同程度生了病甚至直接死亡。,U001,,0_71
0_71,S002,C002,,这场面真是有够魔幻现实的。,U002,,0_72
0_72,S002,,,请收集场景中的线索还原怪谈可能的原主故事，连接上岗避免消散！,U001,,0_73
0_73,S002,C004,Ego,空间内并不是线性时间。每个探索空间都有特定的出口（使用AD键或左右键左右移动）。,U002,,0_74
0_74,S002,C004,Ego,我们按照搜寻和读取到的信息一比一还原了各类线索，包括可以问询的人物（点击场景中的人物）。,U002,,0_75
0_75,S002,C004,Ego,有的人物可以直接问询(不展开背包），有的则需要使用对应物品突破其心理防线（使用卡牌）。,U002,,0_76
0_76,S002,C004,Ego,你准备好开始探索了吗？,U004,准备好了！:0_77::;没准备好orz:0_78::,
0_77,S002,C004,Ego,那就开始你的探索吧！,U002,,
0_78,S002,C004,Ego,那就自求多福吧！,U002,,
